upc,asin,cost,marketplace,group,title,author,img,rank,status,msg,oversize,weight,new-fba-offers,used-fba-offers,collectible-fba-offers,total-fba-offers,new-offers,used-offers,collectible-offers,total-offers,amazon_price,lowFBA,low-new-FBA,low-used-FBA,low-collectible-FBA,lowMFN,low-new-MFN,low-used-MFN,low-collectible-MFN,net_payout,margin_impact,margin_percent,profit_percent
838766080192,B00O2UU8HO,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chocolate Peanut Butter Box of 12 - Men's,,http://ecx.images-amazon.com/images/I/518sgbHfk2L.jpg,"276,551",accept,,no,1.7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080192,B00O957VJA,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chocolate Peanut Butter 12 Count,,http://ecx.images-amazon.com/images/I/410MMbO9%2B-L.jpg,"141,204",accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080208,B00IZO6E0I,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chcolate Mint Box of 12 - Men's,,http://ecx.images-amazon.com/images/I/51oPXnD1MpL.jpg,"206,993",accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080208,B00MXT7MPC,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chocolate Mint Box SeQuel 12 (2.14oz) Box,,http://ecx.images-amazon.com/images/I/41DY9nR8a%2BL.jpg,"662,748",accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080208,B00NBZASLM,$33.43 ,US,Health and Beauty,Vega Sport Protein Bar Chocolate Mint 12 Count,,http://ecx.images-amazon.com/images/I/41LAEbamrmL.jpg,"32,644",accept,,no,1.75,1,0,0,1,2,0,0,2,$29.99 ,,,,,$48.79 ,$48.79 ,,,($11.34),$22.09 ,-51.34%,-33.92%
838766080154,B00IZO6HB4,$1.99 ,US,Health and Beauty,Vega Vega Sport Chocolate Coconut Protein Bar-12 Bars,,http://ecx.images-amazon.com/images/I/61gK3C9sSmL.jpg,"794,098",accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080161,,$1.99 ,US,,,,,,abort,"Your search for ""838766080161"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766080178,B00IZO6IM2,$1.99 ,US,Health and Beauty,Vega ProteinBar Chocolate Mint,,http://ecx.images-amazon.com/images/I/61b14DPVL6L.jpg,"781,228",accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766030111,,,US,,,,,,abort,"Your search for ""838766030111"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766030128,,,US,,,,,,abort,"Your search for ""838766030128"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766030135,,,US,,,,,,abort,"Your search for ""838766030135"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766030050,B0046JFB8M,$7.99 ,US,Health and Beauty,Vega SaviSeed Oh Natural 5 Ounce,,http://ecx.images-amazon.com/images/I/41wFdIFywyL.jpg,"27,018",accept,,no,0,1,0,0,1,4,0,0,4,$10.00 ,,,,,$12.98 ,$12.98 ,,,($1.98),$6.01 ,-32.95%,-24.78%
838766030050,B005GNY052,$7.99 ,US,Health and Beauty,Vega Savi Seed Sacha Inchi Seed Snack Lightly Salted Oh Natural -- 5 oz,,http://ecx.images-amazon.com/images/I/21ZqQTK8MiL.jpg,"307,188",accept,,no,0,0,0,0,0,1,0,0,1,,,,,,$13.98 ,$13.98 ,,,$1.41 ,$9.40 ,15%,17.65%
838766030050,B0083ELDX8,$7.99 ,US,Single Detail Page Misc,SaviSeed Oh Natural SeQuel 5 oz/142g Seeds,,http://ecx.images-amazon.com/images/I/31t9XqayoEL.jpg,"113,550",accept,,no,0,0,0,0,0,1,0,0,1,,,,,,$7.99 ,$7.99 ,,,($3.68),$4.31 ,-85.38%,-46.06%
838766030050,B0084H2BNU,$7.99 ,US,Health and Beauty,Vega SaviSeed Karmalized 5 Ounce,,http://ecx.images-amazon.com/images/I/41AIeCxnBKL.jpg,"136,777",accept,,no,0,1,0,0,1,4,0,0,4,$10.00 ,,,,,$12.98 ,$12.98 ,,,($2.07),$5.92 ,-34.97%,-25.91%
838766030067,B0046JDAZI,$7.99 ,US,Health and Beauty,Vega SaviSeed 5 Ounce,,http://ecx.images-amazon.com/images/I/51xCP0-6zeL.jpg,"72,404",accept,,no,0.34,1,0,0,1,4,0,0,4,$10.00 ,,,,,$18.82 ,$18.82 ,,,($2.07),$5.92 ,-34.97%,-25.91%
838766030067,B0089SWMXS,$7.99 ,US,Health and Beauty,SaviSeed Cocoa Kissed SeQuel 5oz/142g Seeds,,http://ecx.images-amazon.com/images/I/21yBSEIXCOL.jpg,"470,995",accept,,no,0.3,0,0,0,0,2,0,0,2,,,,,,$7.99 ,$7.99 ,,,($3.77),$4.22 ,-89.34%,-47.18%
838766030050,B0084H2BNU,$7.99 ,US,Health and Beauty,Vega SaviSeed Karmalized 5 Ounce,,http://ecx.images-amazon.com/images/I/41AIeCxnBKL.jpg,"136,777",accept,,no,0,1,0,0,1,4,0,0,4,$10.00 ,,,,,$12.98 ,$12.98 ,,,($2.07),$5.92 ,-34.97%,-25.91%
838766030081,B0084H51O6,$23.99 ,US,Health and Beauty,Vega SaviSeed Oh Natural 12 Count,,http://ecx.images-amazon.com/images/I/41dhNGrCchL.jpg,"44,521",accept,,no,0,1,0,0,1,5,0,0,5,$24.39 ,,,,,$22.89 ,$22.89 ,,,($6.68),$17.31 ,-38.59%,-27.84%
838766030098,B0084H53EO,$23.99 ,US,Health and Beauty,Vega SaviSeed Cocoa Kissed 12 Count,,http://ecx.images-amazon.com/images/I/41sztyY6wSL.jpg,"77,776",accept,,no,1,1,0,0,1,3,0,0,3,$25.90 ,,,,,$23.99 ,$23.99 ,,,($5.40),$18.59 ,-29.05%,-22.51%
838766030104,B008BTTTLS,$23.99 ,US,Health and Beauty,Vega SaviSeed Karmalized 12 Count,,http://ecx.images-amazon.com/images/I/41VWuArFzsL.jpg,"251,154",accept,,no,0,1,0,0,1,3,0,0,3,$25.90 ,,,,,$23.99 ,$23.99 ,,,($5.40),$18.59 ,-29.05%,-22.51%
838766030005,,$2.39 ,US,,,,,,abort,"Your search for ""838766030005"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766030012,,$2.39 ,US,,,,,,abort,"Your search for ""838766030012"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766030029,,$2.39 ,US,,,,,,abort,"Your search for ""838766030029"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766060002,B008DP63BO,$16.76 ,US,Health and Beauty,Vega Maca 60 Vegicaps 750mg,,http://ecx.images-amazon.com/images/I/41948CXLqVL.jpg,"91,150",accept,,no,0,2,0,0,2,5,0,0,5,$18.56 ,$18.99 ,$18.99 ,,,$16.99 ,$16.99 ,,,($3.57),$13.19 ,-27.07%,-21.30%
838766060019,B0084H1PQY,$27.16 ,US,Health and Beauty,Vega Maca 120 Vegicaps 750mg,,http://ecx.images-amazon.com/images/I/41%2Bj-Rl2aHL.jpg,"43,101",accept,,no,0.22,1,0,0,1,4,0,0,4,$29.22 ,,,,,$27.16 ,$27.16 ,,,($4.90),$22.26 ,-22.01%,-18.04%
838766060019,B00CQ7U1YK,$27.16 ,US,Health and Beauty,Vega Maca -- 750 mg - 120 Vegetarian Capsule,,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm.gif,,accept,,no,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766060033,B0085RV9PU,$16.76 ,US,Health and Beauty,Vega Maca Powder 90g,,http://ecx.images-amazon.com/images/I/41fikuTcibL.jpg,"225,957",accept,,no,0.22,3,0,0,3,6,0,0,6,,$15.38 ,$15.38 ,,,$16.99 ,$16.99 ,,,($6.27),$10.49 ,-59.77%,-37.41%
838766060026,B0084H4XHC,$27.16 ,US,Health and Beauty,Vega Maca Powder 180g,,http://ecx.images-amazon.com/images/I/417JfJJoVyL.jpg,"68,159",accept,,no,0.22,3,0,0,3,6,0,0,6,,$21.99 ,$21.99 ,,,$21.49 ,$21.49 ,,,($11.05),$16.11 ,-68.59%,-40.68%
838766010014,B0084H5970,$57.60 ,US,Health and Beauty,Vega Maca Chocolate Bars 1.4 oz. Bars 24 Count,,http://ecx.images-amazon.com/images/I/41%2B3KspaK7L.jpg,"123,173",accept,,no,2.25,1,0,0,1,5,0,0,5,$63.49 ,,,,,$63.49 ,$63.49 ,,,($7.41),$50.19 ,-14.76%,-12.86%
838766010007,,$2.39 ,US,,,,,,abort,"Your search for ""838766010007"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766050003,B0085RVANQ,$19.96 ,US,Health and Beauty,Vega Chlorella 150 Tablets 500mg,,http://ecx.images-amazon.com/images/I/41toIMlNbpL.jpg,"215,164",accept,,no,0.19,2,0,0,2,6,0,0,6,$21.68 ,$24.99 ,$24.99 ,,,$19.99 ,$19.99 ,,,($4.10),$15.86 ,-25.85%,-20.54%
838766050010,B0084H0844,$33.56 ,US,Health and Beauty,Vega Chlorella 300 Tablets 500mg,,http://ecx.images-amazon.com/images/I/41KrNzwNo8L.jpg,"86,748",accept,,no,0.35,2,0,0,2,6,0,0,6,$33.59 ,$38.99 ,$38.99 ,,,$33.99 ,$33.99 ,,,($8.38),$25.18 ,-33.28%,-24.97%
838766003030,B005AYE732,$30.36 ,US,Beauty,Chloressence Premium High-CGF Chlorella - 150g - Powder,,http://ecx.images-amazon.com/images/I/216dtPjetbL.jpg,"477,035",accept,,no,0.45,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766020006,B0085108EE,$11.99 ,US,Health and Beauty,Vega Antioxidant Omega Oil Blend 8.5 Ounce,,http://ecx.images-amazon.com/images/I/41Vh-7vVdyL.jpg,"217,862",accept,,no,0,2,0,0,2,4,0,0,4,$13.47 ,$14.99 ,$14.99 ,,,$11.99 ,$11.99 ,,,($3.12),$8.87 ,-35.17%,-26.02%
